Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,"4,344",75,40,0.07,0.017,7.5,1.5,5.4186,72.0
6%,"4,344",80,30,0.07,0.017,7.5,1.5,5.4186,72.4
6%,"4,344",80,40,0.07,0.017,7.5,1.5,5.4186,68.5
6%,"4,344",85,30,0.07,0.017,7.5,1.5,5.4186,69.1
6%,"4,344",85,40,0.07,0.017,7.5,1.5,5.4186,65.5
6%,"2,772",75,30,0.07,0.017,9.1,1.5,5.4186,57.0
6%,"2,772",75,40,0.07,0.017,9.1,1.5,5.4186,54.4
6%,"2,772",80,30,0.07,0.017,9.1,1.5,5.4186,54.6
6%,"2,772",80,40,0.07,0.017,9.1,1.5,5.4186,52.2
6%,"2,772",85,30,0.07,0.017,9.1,1.5,5.4186,52.5
6%,"2,772",85,40,0.07,0.017,9.1,1.5,5.4186,50.2
6%,"1,2",75,30,0.07,0.017,12.7,1.5,5.4186,40.8
6%,"1,2",75,40,0.07,0.017,12.7,1.5,5.4186,39.7
6%,"1,2",80,30,0.07,0.017,12.7,1.5,5.4186,39.8
6%,"1,2",80,40,0.07,0.017,12.7,1.5,5.4186,38.7
6%,"1,2",85,30,0.07,0.017,12.7,1.5,5.4186,38.9
6%,"1,2",85,40,0.07,0.017,12.7,1.5,5.4186,37.9
4%,"4,344",75,30,0.06,0.017,7.5,1.5,5.4186,66.3
4%,"4,344",75,40,0.05,0.017,7.5,1.5,5.4186,61.4
4%,"4,344",80,30,0.06,0.017,7.5,1.5,5.4186,63.2
4%,"4,344",80,40,0.05,0.017,7.5,1.5,5.4186,58.6
4%,"4,344",85,30,0.06,0.017,7.5,1.5,5.4186,60.4
4%,"4,344",85,40,0.05,0.017,7.5,1.5,5.4186,56.2
4%,"2,772",75,30,0.06,0.017,9.1,1.5,5.4186,50.7
4%,"2,772",75,40,0.05,0.017,9.1,1.5,5.4186,47.7
4%,"2,772",80,30,0.06,0.017,9.1,1.5,5.4186,48.8
4%,"2,772",80,40,0.05,0.017,9.1,1.5,5.4186,45.9
4%,"2,772",85,30,0.06,0.017,9.1,1.5,5.4186,47.0
4%,"2,772",85,40,0.05,0.017,9.1,1.5,5.4186,44.3
4%,"1,2",75,30,0.06,0.017,12.7,1.5,5.4186,38.1
4%,"1,2",75,40,0.05,0.017,12.7,1.5,5.4186,36.8
4%,"1,2",80,30,0.06,0.017,12.7,1.5,5.4186,37.3
4%,"1,2",80,40,0.05,0.017,12.7,1.5,5.4186,36.0
4%,"1,2",85,30,0.06,0.017,12.7,1.5,5.4186,36.5
4%,"1,2",85,40,0.05,0.017,12.7,1.5,5.4186,35.3
10%,"4,344",75,30,0.11,0.013,7.5,2.0,5.4186,99.2
10%,"4,344",75,40,0.10,0.013,7.5,2.0,5.4186,96.7
10%,"4,344",80,30,0.11,0.013,7.5,2.0,5.4186,94.3
10%,"4,344",80,40,0.10,0.013,7.5,2.0,5.4186,91.9
10%,"4,344",85,30,0.11,0.013,7.5,2.0,5.4186,89.9
10%,"4,344",85,40,0.10,0.013,7.5,2.0,5.4186,87.7
10%,"2,772",75,30,0.11,0.013,9.1,2.0,5.4186,73.9
10%,"2,772",75,40,0.10,0.013,9.1,2.0,5.4186,72.3
10%,"2,772",80,30,0.11,0.013,9.1,2.0,5.4186,70.8
10%,"2,772",80,40,0.10,0.013,9.1,2.0,5.4186,69.3
10%,"2,772",85,30,0.11,0.013,9.1,2.0,5.4186,68.0
10%,"2,772",85,40,0.10,0.013,9.1,2.0,5.4186,66.6
10%,"1,2",75,30,0.11,0.013,12.7,2.0,5.4186,52.5
10%,"1,2",75,40,0.10,0.013,12.7,2.0,5.4186,51.8
10%,"1,2",80,30,0.11,0.013,12.7,2.0,5.4186,51.1
10%,"1,2",80,40,0.10,0.013,12.7,2.0,5.4186,50.5
10%,"1,2",85,30,0.11,0.013,12.7,2.0,5.4186,49.9
10%,"1,2",85,40,0.10,0.013,12.7,2.0,5.4186,49.3
6%,"4,344",75,30,0.07,0.013,7.5,2.0,5.4186,77.1
6%,"4,344",75,40,0.07,0.013,7.5,2.0,5.4186,73.0
6%,"4,344",80,30,0.07,0.013,7.5,2.0,5.4186,73.6
6%,"4,344",80,40,0.07,0.013,7.5,2.0,5.4186,69.7
6%,"4,344",85,30,0.07,0.013,7.5,2.0,5.4186,70.4
6%,"4,344",85,40,0.07,0.013,7.5,2.0,5.4186,66.8
6%,"2,772",75,30,0.07,0.013,9.1,2.0,5.4186,59.8
6%,"2,772",75,40,0.07,0.013,9.1,2.0,5.4186,57.2
6%,"2,772",80,30,0.07,0.013,9.1,2.0,5.4186,57.6
6%,"2,772",80,40,0.07,0.013,9.1,2.0,5.4186,55.1
6%,"2,772",85,30,0.07,0.013,9.1,2.0,5.4186,55.6
6%,"2,772",85,40,0.07,0.013,9.1,2.0,5.4186,53.3
6%,"1,2",75,30,0.07,0.013,12.7,2.0,5.4186,46.4
6%,"1,2",75,40,0.07,0.013,12.7,2.0,5.4186,45.3
6%,"1,2",80,30,0.07,0.013,12.7,2.0,5.4186,45.4
6%,"1,2",80,40,0.07,0.013,12.7,2.0,5.4186,44.4
6%,"1,2",85,30,0.07,0.013,12.7,2.0,5.4186,44.6
6%,"1,2",85,40,0.07,0.013,12.7,2.0,5.4186,43.6
4%,"4,344",75,30,0.06,0.013,7.5,2.0,5.4186,67.3
4%,"4,344",75,40,0.05,0.013,7.5,2.0,5.4186,62.5
4%,"4,344",80,30,0.06,0.013,7.5,2.0,5.4186,64.4
4%,"4,344",80,40,0.05,0.013,7.5,2.0,5.4186,59.9
4%,"4,344",85,30,0.06,0.013,7.5,2.0,5.4186,61.8
4%,"4,344",85,40,0.05,0.013,7.5,2.0,5.4186,57.5
4%,"2,772",75,30,0.06,0.013,9.1,2.0,5.4186,53.6
4%,"2,772",75,40,0.05,0.013,9.1,2.0,5.4186,50.5
4%,"2,772",80,30,0.06,0.013,9.1,2.0,5.4186,51.7
4%,"2,772",80,40,0.05,0.013,9.1,2.0,5.4186,48.8
4%,"2,772",85,30,0.06,0.013,9.1,2.0,5.4186,50.0
4%,"2,772",85,40,0.05,0.013,9.1,2.0,5.4186,47.3
4%,"1,2",75,30,0.06,0.013,12.7,2.0,5.4186,43.7
4%,"1,2",75,40,0.05,0.013,12.7,2.0,5.4186,42.4
4%,"1,2",80,30,0.06,0.013,12.7,2.0,5.4186,42.9
4%,"1,2",80,40,0.05,0.013,12.7,2.0,5.4186,41.6
4%,"1,2",85,30,0.06,0.013,12.7,2.0,5.4186,42.2
4%,"1,2",85,40,0.05,0.013,12.7,2.0,5.4186,41.0
10%,"4,344",75,30,0.11,0.017,7.5,2.0,5.4186,101.9
10%,"4,344",75,40,0.10,0.017,7.5,2.0,5.4186,99.4
10%,"4,344",80,30,0.11,0.017,7.5,2.0,5.4186,96.8
10%,"4,344",80,40,0.10,0.017,7.5,2.0,5.4186,94.5
10%,"4,344",85,30,0.11,0.017,7.5,2.0,5.4186,92.3
10%,"4,344",85,40,0.10,0.017,7.5,2.0,5.4186,90.1
10%,"2,772",75,30,0.11,0.017,9.1,2.0,5.4186,75.7
10%,"2,772",75,40,0.10,0.017,9.1,2.0,5.4186,74.0
10%,"2,772",80,30,0.11,0.017,9.1,2.0,5.4186,72.4
10%,"2,772",80,40,0.10,0.017,9.1,2.0,5.4186,70.9
10%,"2,772",85,30,0.11,0.017,9.1,2.0,5.4186,69.5
10%,"2,772",85,40,0.10,0.017,9.1,2.0,5.4186,68.1
10%,"1,2",75,30,0.11,0.017,12.7,2.0,5.4186,53.3
10%,"1,2",75,40,0.10,0.017,12.7,2.0,5.4186,52.6
10%,"1,2",80,30,0.11,0.017,12.7,2.0,5.4186,51.8
10%,"1,2",80,40,0.10,0.017,12.7,2.0,5.4186,51.2
10%,"1,2",85,30,0.11,0.017,12.7,2.0,5.4186,50.6
10%,"1,2",85,40,0.10,0.017,12.7,2.0,5.4186,50.0
6%,"4,344",75,30,0.07,0.017,7.5,2.0,5.4186,79.8
6%,"4,344",75,40,0.07,0.017,7.5,2.0,5.4186,75.7
6%,"4,344",80,30,0.07,0.017,7.5,2.0,5.4186,76.1
6%,"4,344",80,40,0.07,0.017,7.5,2.0,5.4186,72.3
6%,"4,344",85,30,0.07,0.017,7.5,2.0,5.4186,72.8
6%,"4,344",85,40,0.07,0.017,7.5,2.0,5.4186,69.2
6%,"2,772",75,30,0.07,0.017,9.1,2.0,5.4186,61.5
