Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,"1,161",85,20,0.087,0.0154,6.5,12.0000,3.2500,96.9
6%,"1,161",85,30,0.073,0.0154,6.5,12.0000,3.2500,94.6
6%,917,75,20,0.087,0.0154,6.8,12.0000,3.2500,98.6
6%,917,75,30,0.073,0.0154,6.8,12.0000,3.2500,96.5
6%,917,80,20,0.087,0.0154,6.8,12.0000,3.2500,97.7
6%,917,80,30,0.073,0.0154,6.8,12.0000,3.2500,95.8
6%,917,85,20,0.087,0.0154,6.8,12.0000,3.2500,96.9
6%,917,85,30,0.073,0.0154,6.8,12.0000,3.2500,95.1
6%,673,75,20,0.087,0.0154,7.5,12.0000,3.2500,103.8
6%,673,75,30,0.073,0.0154,7.5,12.0000,3.2500,102.3
6%,673,80,20,0.087,0.0154,7.5,12.0000,3.2500,103.1
6%,673,80,30,0.073,0.0154,7.5,12.0000,3.2500,101.7
6%,673,85,20,0.087,0.0154,7.5,12.0000,3.2500,102.5
6%,673,85,30,0.073,0.0154,7.5,12.0000,3.2500,101.2
4%,"1,161",75,20,0.074,0.0154,6.5,12.0000,3.2500,96.6
4%,"1,161",75,30,0.058,0.0154,6.5,12.0000,3.2500,93.8
4%,"1,161",80,20,0.074,0.0154,6.5,12.0000,3.2500,95.6
4%,"1,161",80,30,0.058,0.0154,6.5,12.0000,3.2500,93.0
4%,"1,161",85,20,0.074,0.0154,6.5,12.0000,3.2500,94.8
4%,"1,161",85,30,0.058,0.0154,6.5,12.0000,3.2500,92.3
4%,917,75,20,0.074,0.0154,6.8,12.0000,3.2500,96.7
4%,917,75,30,0.058,0.0154,6.8,12.0000,3.2500,94.5
4%,917,80,20,0.074,0.0154,6.8,12.0000,3.2500,95.9
4%,917,80,30,0.058,0.0154,6.8,12.0000,3.2500,93.8
4%,917,85,20,0.074,0.0154,6.8,12.0000,3.2500,95.2
4%,917,85,30,0.058,0.0154,6.8,12.0000,3.2500,93.3
4%,673,75,20,0.074,0.0154,7.5,12.0000,3.2500,102.4
4%,673,75,30,0.058,0.0154,7.5,12.0000,3.2500,100.7
4%,673,80,20,0.074,0.0154,7.5,12.0000,3.2500,101.8
4%,673,80,30,0.058,0.0154,7.5,12.0000,3.2500,100.3
4%,673,85,20,0.074,0.0154,7.5,12.0000,3.2500,101.3
4%,673,85,30,0.058,0.0154,7.5,12.0000,3.2500,99.9
10%,"1,161",75,20,0.117,0.0234,6.5,12.0000,3.2500,105.8
10%,"1,161",75,30,0.106,0.0234,6.5,12.0000,3.2500,103.8
10%,"1,161",80,20,0.117,0.0234,6.5,12.0000,3.2500,104.2
10%,"1,161",80,30,0.106,0.0234,6.5,12.0000,3.2500,102.3
10%,"1,161",85,20,0.117,0.0234,6.5,12.0000,3.2500,102.9
10%,"1,161",85,30,0.106,0.0234,6.5,12.0000,3.2500,101.1
10%,917,75,20,0.117,0.0234,6.8,12.0000,3.2500,103.9
10%,917,75,30,0.106,0.0234,6.8,12.0000,3.2500,102.3
10%,917,80,20,0.117,0.0234,6.8,12.0000,3.2500,102.7
10%,917,80,30,0.106,0.0234,6.8,12.0000,3.2500,101.2
10%,917,85,20,0.117,0.0234,6.8,12.0000,3.2500,101.6
10%,917,85,30,0.106,0.0234,6.8,12.0000,3.2500,100.2
10%,673,75,20,0.117,0.0234,7.5,12.0000,3.2500,107.7
10%,673,75,30,0.106,0.0234,7.5,12.0000,3.2500,106.5
10%,673,80,20,0.117,0.0234,7.5,12.0000,3.2500,106.8
10%,673,80,30,0.106,0.0234,7.5,12.0000,3.2500,105.7
10%,673,85,20,0.117,0.0234,7.5,12.0000,3.2500,106.0
10%,673,85,30,0.106,0.0234,7.5,12.0000,3.2500,104.9
6%,"1,161",75,20,0.087,0.0234,6.5,12.0000,3.2500,100.4
6%,"1,161",75,30,0.073,0.0234,6.5,12.0000,3.2500,97.9
6%,"1,161",80,20,0.087,0.0234,6.5,12.0000,3.2500,99.2
6%,"1,161",80,30,0.073,0.0234,6.5,12.0000,3.2500,96.8
6%,"1,161",85,20,0.087,0.0234,6.5,12.0000,3.2500,98.1
6%,"1,161",85,30,0.073,0.0234,6.5,12.0000,3.2500,95.9
6%,917,75,20,0.087,0.0234,6.8,12.0000,3.2500,99.7
6%,917,75,30,0.073,0.0234,6.8,12.0000,3.2500,97.7
6%,917,80,20,0.087,0.0234,6.8,12.0000,3.2500,98.7
6%,917,80,30,0.073,0.0234,6.8,12.0000,3.2500,96.8
6%,917,85,20,0.087,0.0234,6.8,12.0000,3.2500,97.9
6%,917,85,30,0.073,0.0234,6.8,12.0000,3.2500,96.1
6%,673,75,20,0.087,0.0234,7.5,12.0000,3.2500,104.6
6%,673,75,30,0.073,0.0234,7.5,12.0000,3.2500,103.1
6%,673,80,20,0.087,0.0234,7.5,12.0000,3.2500,103.9
6%,673,80,30,0.073,0.0234,7.5,12.0000,3.2500,102.5
6%,673,85,20,0.087,0.0234,7.5,12.0000,3.2500,103.2
6%,673,85,30,0.073,0.0234,7.5,12.0000,3.2500,101.9
4%,"1,161",75,20,0.074,0.0234,6.5,12.0000,3.2500,98.0
4%,"1,161",75,30,0.058,0.0234,6.5,12.0000,3.2500,95.2
4%,"1,161",80,20,0.074,0.0234,6.5,12.0000,3.2500,97.0
4%,"1,161",80,30,0.058,0.0234,6.5,12.0000,3.2500,94.3
4%,"1,161",85,20,0.074,0.0234,6.5,12.0000,3.2500,96.0
4%,"1,161",85,30,0.058,0.0234,6.5,12.0000,3.2500,93.6
4%,917,75,20,0.074,0.0234,6.8,12.0000,3.2500,97.8
4%,917,75,30,0.058,0.0234,6.8,12.0000,3.2500,95.6
4%,917,80,20,0.074,0.0234,6.8,12.0000,3.2500,96.9
4%,917,80,30,0.058,0.0234,6.8,12.0000,3.2500,94.9
4%,917,85,20,0.074,0.0234,6.8,12.0000,3.2500,96.2
4%,917,85,30,0.058,0.0234,6.8,12.0000,3.2500,94.3
4%,673,75,20,0.074,0.0234,7.5,12.0000,3.2500,103.2
4%,673,75,30,0.058,0.0234,7.5,12.0000,3.2500,101.6
4%,673,80,20,0.074,0.0234,7.5,12.0000,3.2500,102.6
4%,673,80,30,0.058,0.0234,7.5,12.0000,3.2500,101.0
4%,673,85,20,0.074,0.0234,7.5,12.0000,3.2500,102.0
4%,673,85,30,0.058,0.0234,7.5,12.0000,3.2500,100.6
,,,,,,,,,
,,,,,,,,,
324,,,,,,,,,
