Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Variable O&M cost,Levelized cost of electrcity (LCOE)
4%,"1,153",15,30,0.058,0.012,0.0000,61.5
4%,"1,153",20,25,0.064,0.012,0.0000,50.2
4%,"1,153",20,30,0.058,0.012,0.0000,46.2
4%,"1,153",30,25,0.064,0.012,0.0000,33.5
4%,"1,153",30,30,0.058,0.012,0.0000,30.8
4%,618,15,25,0.064,0.012,0.0000,35.9
4%,618,15,30,0.058,0.012,0.0000,33.0
4%,618,20,25,0.064,0.012,0.0000,26.9
4%,618,20,30,0.058,0.012,0.0000,24.7
4%,618,30,25,0.064,0.012,0.0000,17.9
4%,618,30,30,0.058,0.012,0.0000,16.5
