Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,"7,911",85,50,0.06,0.020,10.5,0.7,4.6017,101.3
6%,"7,911",90,40,0.07,0.020,10.5,0.7,4.6017,99.4
6%,"7,911",90,50,0.06,0.020,10.5,0.7,4.6017,96.4
6%,"5,956",80,40,0.07,0.020,11.0,0.7,4.6017,86.4
6%,"5,956",80,50,0.06,0.020,11.0,0.7,4.6017,83.9
6%,"5,956",85,40,0.07,0.020,11.0,0.7,4.6017,82.1
6%,"5,956",85,50,0.06,0.020,11.0,0.7,4.6017,79.7
6%,"5,956",90,40,0.07,0.020,11.0,0.7,4.6017,78.2
6%,"5,956",90,50,0.06,0.020,11.0,0.7,4.6017,76.0
6%,4,80,40,0.07,0.020,11.5,0.7,4.6017,62.6
6%,4,80,50,0.06,0.020,11.5,0.7,4.6017,60.8
6%,4,85,40,0.07,0.020,11.5,0.7,4.6017,59.6
6%,4,85,50,0.06,0.020,11.5,0.7,4.6017,58.0
6%,4,90,40,0.07,0.020,11.5,0.7,4.6017,57.1
6%,4,90,50,0.06,0.020,11.5,0.7,4.6017,55.5
4%,"7,911",80,40,0.05,0.020,10.5,0.7,4.6017,92.3
4%,"7,911",80,50,0.05,0.020,10.5,0.7,4.6017,87.8
4%,"7,911",85,40,0.05,0.020,10.5,0.7,4.6017,87.6
4%,"7,911",85,50,0.05,0.020,10.5,0.7,4.6017,83.4
4%,"7,911",90,40,0.05,0.020,10.5,0.7,4.6017,83.4
4%,"7,911",90,50,0.05,0.020,10.5,0.7,4.6017,79.4
4%,"5,956",80,40,0.05,0.020,11.0,0.7,4.6017,72.9
4%,"5,956",80,50,0.05,0.020,11.0,0.7,4.6017,69.5
4%,"5,956",85,40,0.05,0.020,11.0,0.7,4.6017,69.3
4%,"5,956",85,50,0.05,0.020,11.0,0.7,4.6017,66.2
4%,"5,956",90,40,0.05,0.020,11.0,0.7,4.6017,66.2
4%,"5,956",90,50,0.05,0.020,11.0,0.7,4.6017,63.2
4%,4,80,40,0.05,0.020,11.5,0.7,4.6017,53.5
4%,4,80,50,0.05,0.020,11.5,0.7,4.6017,51.2
4%,4,85,40,0.05,0.020,11.5,0.7,4.6017,51.1
4%,4,85,50,0.05,0.020,11.5,0.7,4.6017,49.0
4%,4,90,40,0.05,0.020,11.5,0.7,4.6017,49.0
4%,4,90,50,0.05,0.020,11.5,0.7,4.6017,47.0
10%,"7,911",80,40,0.10,0.017,10.5,0.8,4.6017,148.0
