Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Variable O&M cost,Levelized cost of electrcity (LCOE)
4%,"2,285",30,25,0.064,0.0273,0.0000,79.4
4%,"2,285",30,30,0.058,0.0273,0.0000,74.0
4%,"2,285",35,25,0.064,0.0273,0.0000,68.0
4%,"2,285",35,30,0.058,0.0273,0.0000,63.4
4%,"2,285",45,25,0.064,0.0273,0.0000,52.9
4%,"2,285",45,30,0.058,0.0273,0.0000,49.3
4%,"1,692",25,25,0.064,0.0273,0.0000,70.6
4%,"1,692",25,30,0.058,0.0273,0.0000,65.8
4%,"1,692",30,25,0.064,0.0273,0.0000,58.8
4%,"1,692",30,30,0.058,0.0273,0.0000,54.8
4%,"1,692",35,25,0.064,0.0273,0.0000,50.4
4%,"1,692",35,30,0.058,0.0273,0.0000,47.0
4%,"1,1",25,25,0.064,0.0273,0.0000,45.9
4%,"1,1",25,30,0.058,0.0273,0.0000,42.8
4%,"1,1",30,25,0.064,0.0273,0.0000,38.2
4%,"1,1",30,30,0.058,0.0273,0.0000,35.6
4%,"1,1",35,25,0.064,0.0273,0.0000,32.8
4%,"1,1",35,30,0.058,0.0273,0.0000,30.5
