Discount Rate,CAPEX,Capacity Factor,Economic Life,Capital recovery,Fixed O&M cost,Heat Rate,Fuel Price,Variable O&M cost,Levelized cost of electrcity (LCOE)
6%,718,75,30,0.07,0.017,8.4,3.3,5.6200,43.3
6%,718,80,20,0.09,0.017,8.4,3.3,5.6200,44.2
6%,718,80,30,0.07,0.017,8.4,3.3,5.6200,42.7
6%,718,85,20,0.09,0.017,8.4,3.3,5.6200,43.5
6%,718,85,30,0.07,0.017,8.4,3.3,5.6200,42.1
6%,536,75,20,0.09,0.017,10.3,3.3,5.6200,48.3
6%,536,75,30,0.07,0.017,10.3,3.3,5.6200,47.1
6%,536,80,20,0.09,0.017,10.3,3.3,5.6200,47.7
6%,536,80,30,0.07,0.017,10.3,3.3,5.6200,46.6
6%,536,85,20,0.09,0.017,10.3,3.3,5.6200,47.3
6%,536,85,30,0.07,0.017,10.3,3.3,5.6200,46.2
4%,899,75,20,0.07,0.017,8.0,3.3,5.6200,44.5
4%,899,75,30,0.06,0.017,8.0,3.3,5.6200,42.3
4%,899,80,20,0.07,0.017,8.0,3.3,5.6200,43.7
4%,899,80,30,0.06,0.017,8.0,3.3,5.6200,41.7
4%,899,85,20,0.07,0.017,8.0,3.3,5.6200,43.0
4%,899,85,30,0.06,0.017,8.0,3.3,5.6200,41.1
4%,718,75,20,0.07,0.017,8.4,3.3,5.6200,43.4
4%,718,75,30,0.06,0.017,8.4,3.3,5.6200,41.7
4%,718,80,20,0.07,0.017,8.4,3.3,5.6200,42.8
4%,718,80,30,0.06,0.017,8.4,3.3,5.6200,41.2
4%,718,85,20,0.07,0.017,8.4,3.3,5.6200,42.2
4%,718,85,30,0.06,0.017,8.4,3.3,5.6200,40.7
4%,536,75,20,0.07,0.017,10.3,3.3,5.6200,47.2
4%,536,75,30,0.06,0.017,10.3,3.3,5.6200,45.9
4%,536,80,20,0.07,0.017,10.3,3.3,5.6200,46.7
4%,536,80,30,0.06,0.017,10.3,3.3,5.6200,45.5
4%,536,85,20,0.07,0.017,10.3,3.3,5.6200,46.3
4%,536,85,30,0.06,0.017,10.3,3.3,5.6200,45.2
10%,899,75,20,0.12,0.014,8.0,7.5,5.6200,83.6
10%,899,75,30,0.11,0.014,8.0,7.5,5.6200,82.0
10%,899,80,20,0.12,0.014,8.0,7.5,5.6200,82.5
10%,899,80,30,0.11,0.014,8.0,7.5,5.6200,81.0
10%,899,85,20,0.12,0.014,8.0,7.5,5.6200,81.5
10%,899,85,30,0.11,0.014,8.0,7.5,5.6200,80.1
10%,718,75,20,0.12,0.014,8.4,7.5,5.6200,83.3
10%,718,75,30,0.11,0.014,8.4,7.5,5.6200,82.0
10%,718,80,20,0.12,0.014,8.4,7.5,5.6200,82.4
10%,718,80,30,0.11,0.014,8.4,7.5,5.6200,81.2
10%,718,85,20,0.12,0.014,8.4,7.5,5.6200,81.6
10%,718,85,30,0.11,0.014,8.4,7.5,5.6200,80.5
10%,536,75,20,0.12,0.014,10.3,7.5,5.6200,93.9
10%,536,75,30,0.11,0.014,10.3,7.5,5.6200,93.0
10%,536,80,20,0.12,0.014,10.3,7.5,5.6200,93.2
10%,536,80,30,0.11,0.014,10.3,7.5,5.6200,92.4
10%,536,85,20,0.12,0.014,10.3,7.5,5.6200,92.6
10%,536,85,30,0.11,0.014,10.3,7.5,5.6200,91.8
6%,899,75,20,0.09,0.014,8.0,7.5,5.6200,79.5
6%,899,75,30,0.07,0.014,8.0,7.5,5.6200,77.5
6%,899,80,20,0.09,0.014,8.0,7.5,5.6200,78.6
6%,899,80,30,0.07,0.014,8.0,7.5,5.6200,76.7
6%,899,85,20,0.09,0.014,8.0,7.5,5.6200,77.8
6%,899,85,30,0.07,0.014,8.0,7.5,5.6200,76.1
6%,718,75,20,0.09,0.014,8.4,7.5,5.6200,80.0
6%,718,75,30,0.07,0.014,8.4,7.5,5.6200,78.4
6%,718,80,20,0.09,0.014,8.4,7.5,5.6200,79.3
6%,718,80,30,0.07,0.014,8.4,7.5,5.6200,77.8
6%,718,85,20,0.09,0.014,8.4,7.5,5.6200,78.7
6%,718,85,30,0.07,0.014,8.4,7.5,5.6200,77.3
6%,536,75,20,0.09,0.014,10.3,7.5,5.6200,91.4
6%,536,75,30,0.07,0.014,10.3,7.5,5.6200,90.2
6%,536,80,20,0.09,0.014,10.3,7.5,5.6200,90.9
6%,536,80,30,0.07,0.014,10.3,7.5,5.6200,89.8
6%,536,85,20,0.09,0.014,10.3,7.5,5.6200,90.5
6%,536,85,30,0.07,0.014,10.3,7.5,5.6200,89.4
4%,899,75,20,0.07,0.014,8.0,7.5,5.6200,77.6
4%,899,75,30,0.06,0.014,8.0,7.5,5.6200,75.4
4%,899,80,20,0.07,0.014,8.0,7.5,5.6200,76.8
4%,899,80,30,0.06,0.014,8.0,7.5,5.6200,74.8
4%,899,85,20,0.07,0.014,8.0,7.5,5.6200,76.2
4%,899,85,30,0.06,0.014,8.0,7.5,5.6200,74.3
4%,718,75,20,0.07,0.014,8.4,7.5,5.6200,78.5
4%,718,75,30,0.06,0.014,8.4,7.5,5.6200,76.8
4%,718,80,20,0.07,0.014,8.4,7.5,5.6200,77.9
4%,718,80,30,0.06,0.014,8.4,7.5,5.6200,76.3
4%,718,85,20,0.07,0.014,8.4,7.5,5.6200,77.4
4%,718,85,30,0.06,0.014,8.4,7.5,5.6200,75.8
4%,536,75,20,0.07,0.014,10.3,7.5,5.6200,90.3
4%,536,75,30,0.06,0.014,10.3,7.5,5.6200,89.0
4%,536,80,20,0.07,0.014,10.3,7.5,5.6200,89.9
4%,536,80,30,0.06,0.014,10.3,7.5,5.6200,88.7
4%,536,85,20,0.07,0.014,10.3,7.5,5.6200,89.5
4%,536,85,30,0.06,0.014,10.3,7.5,5.6200,88.3
10%,899,75,20,0.12,0.017,8.0,7.5,5.6200,84.1
10%,899,75,30,0.11,0.017,8.0,7.5,5.6200,82.5
10%,899,80,20,0.12,0.017,8.0,7.5,5.6200,82.9
10%,899,80,30,0.11,0.017,8.0,7.5,5.6200,81.5
10%,899,85,20,0.12,0.017,8.0,7.5,5.6200,81.9
10%,899,85,30,0.11,0.017,8.0,7.5,5.6200,80.5
10%,718,75,20,0.12,0.017,8.4,7.5,5.6200,83.6
10%,718,75,30,0.11,0.017,8.4,7.5,5.6200,82.4
10%,718,80,20,0.12,0.017,8.4,7.5,5.6200,82.7
10%,718,80,30,0.11,0.017,8.4,7.5,5.6200,81.6
10%,718,85,20,0.12,0.017,8.4,7.5,5.6200,81.9
10%,718,85,30,0.11,0.017,8.4,7.5,5.6200,80.8
10%,536,75,20,0.12,0.017,10.3,7.5,5.6200,94.2
10%,536,75,30,0.11,0.017,10.3,7.5,5.6200,93.2
10%,536,80,20,0.12,0.017,10.3,7.5,5.6200,93.5
10%,536,80,30,0.11,0.017,10.3,7.5,5.6200,92.6
10%,536,85,20,0.12,0.017,10.3,7.5,5.6200,92.9
10%,536,85,30,0.11,0.017,10.3,7.5,5.6200,92.1
6%,899,75,20,0.09,0.017,8.0,7.5,5.6200,79.9
6%,899,75,30,0.07,0.017,8.0,7.5,5.6200,77.9
6%,899,80,20,0.09,0.017,8.0,7.5,5.6200,79.0
6%,899,80,30,0.07,0.017,8.0,7.5,5.6200,77.2
6%,899,85,20,0.09,0.017,8.0,7.5,5.6200,78.2
6%,899,85,30,0.07,0.017,8.0,7.5,5.6200,76.5
6%,718,75,20,0.09,0.017,8.4,7.5,5.6200,80.3
6%,718,75,30,0.07,0.017,8.4,7.5,5.6200,78.7
6%,718,80,20,0.09,0.017,8.4,7.5,5.6200,79.6
6%,718,80,30,0.07,0.017,8.4,7.5,5.6200,78.1
6%,718,85,20,0.09,0.017,8.4,7.5,5.6200,79.0
6%,718,85,30,0.07,0.017,8.4,7.5,5.6200,77.6
6%,536,75,20,0.09,0.017,10.3,7.5,5.6200,91.7
6%,536,75,30,0.07,0.017,10.3,7.5,5.6200,90.5
6%,536,80,20,0.09,0.017,10.3,7.5,5.6200,91.2
6%,536,80,30,0.07,0.017,10.3,7.5,5.6200,90.1
6%,536,85,20,0.09,0.017,10.3,7.5,5.6200,90.7
6%,536,85,30,0.07,0.017,10.3,7.5,5.6200,89.6
4%,899,75,20,0.07,0.017,8.0,7.5,5.6200,78.1
4%,899,75,30,0.06,0.017,8.0,7.5,5.6200,75.9
4%,899,80,20,0.07,0.017,8.0,7.5,5.6200,77.3
4%,899,80,30,0.06,0.017,8.0,7.5,5.6200,75.3
4%,899,85,20,0.07,0.017,8.0,7.5,5.6200,76.6
4%,899,85,30,0.06,0.017,8.0,7.5,5.6200,74.7
4%,718,75,20,0.07,0.017,8.4,7.5,5.6200,78.9
4%,718,75,30,0.06,0.017,8.4,7.5,5.6200,77.1
4%,718,80,20,0.07,0.017,8.4,7.5,5.6200,78.2
4%,718,80,30,0.06,0.017,8.4,7.5,5.6200,76.6
4%,718,85,20,0.07,0.017,8.4,7.5,5.6200,77.7
4%,718,85,30,0.06,0.017,8.4,7.5,5.6200,76.2
4%,536,75,20,0.07,0.017,10.3,7.5,5.6200,90.6
4%,536,75,30,0.06,0.017,10.3,7.5,5.6200,89.3
4%,536,80,20,0.07,0.017,10.3,7.5,5.6200,90.1
4%,536,80,30,0.06,0.017,10.3,7.5,5.6200,88.9
4%,536,85,20,0.07,0.017,10.3,7.5,5.6200,89.7
4%,536,85,30,0.06,0.017,10.3,7.5,5.6200,88.6
10%,899,75,20,0.12,0.014,8.0,12.0,5.6200,119.6
10%,899,75,30,0.11,0.014,8.0,12.0,5.6200,118.0
10%,899,80,20,0.12,0.014,8.0,12.0,5.6200,118.5
10%,899,80,30,0.11,0.014,8.0,12.0,5.6200,117.0
10%,899,85,20,0.12,0.014,8.0,12.0,5.6200,117.5
10%,899,85,30,0.11,0.014,8.0,12.0,5.6200,116.1
10%,718,75,20,0.12,0.014,8.4,12.0,5.6200,121.3
10%,718,75,30,0.11,0.014,8.4,12.0,5.6200,120.0
10%,718,80,20,0.12,0.014,8.4,12.0,5.6200,120.4
10%,718,80,30,0.11,0.014,8.4,12.0,5.6200,119.2
10%,718,85,20,0.12,0.014,8.4,12.0,5.6200,119.6
10%,718,85,30,0.11,0.014,8.4,12.0,5.6200,118.5
10%,536,75,20,0.12,0.014,10.3,12.0,5.6200,140.4
10%,536,75,30,0.11,0.014,10.3,12.0,5.6200,139.5
10%,536,80,20,0.12,0.014,10.3,12.0,5.6200,139.8
10%,536,80,30,0.11,0.014,10.3,12.0,5.6200,138.9
10%,536,85,20,0.12,0.014,10.3,12.0,5.6200,139.2
10%,536,85,30,0.11,0.014,10.3,12.0,5.6200,138.3
6%,899,75,20,0.09,0.014,8.0,12.0,5.6200,115.5
6%,899,75,30,0.07,0.014,8.0,12.0,5.6200,113.5
6%,899,80,20,0.09,0.014,8.0,12.0,5.6200,114.6
6%,899,80,30,0.07,0.014,8.0,12.0,5.6200,112.7
6%,899,85,20,0.09,0.014,8.0,12.0,5.6200,113.8
6%,899,85,30,0.07,0.014,8.0,12.0,5.6200,112.1
6%,718,75,20,0.09,0.014,8.4,12.0,5.6200,117.9
6%,718,75,30,0.07,0.014,8.4,12.0,5.6200,116.4
6%,718,80,20,0.09,0.014,8.4,12.0,5.6200,117.3
6%,718,80,30,0.07,0.014,8.4,12.0,5.6200,115.8
6%,718,85,20,0.09,0.014,8.4,12.0,5.6200,116.6
6%,718,85,30,0.07,0.014,8.4,12.0,5.6200,115.2
6%,536,75,20,0.09,0.014,10.3,12.0,5.6200,138.0
6%,536,75,30,0.07,0.014,10.3,12.0,5.6200,136.8
6%,536,80,20,0.09,0.014,10.3,12.0,5.6200,137.4
6%,536,80,30,0.07,0.014,10.3,12.0,5.6200,136.3
6%,536,85,20,0.09,0.014,10.3,12.0,5.6200,137.0
6%,536,85,30,0.07,0.014,10.3,12.0,5.6200,135.9
4%,899,75,20,0.07,0.014,8.0,12.0,5.6200,113.6
4%,899,75,30,0.06,0.014,8.0,12.0,5.6200,111.4
4%,899,80,20,0.07,0.014,8.0,12.0,5.6200,112.8
4%,899,80,30,0.06,0.014,8.0,12.0,5.6200,110.8
4%,899,85,20,0.07,0.014,8.0,12.0,5.6200,112.2
4%,899,85,30,0.06,0.014,8.0,12.0,5.6200,110.3
4%,718,75,20,0.07,0.014,8.4,12.0,5.6200,116.5
4%,718,75,30,0.06,0.014,8.4,12.0,5.6200,114.7
4%,718,80,20,0.07,0.014,8.4,12.0,5.6200,115.9
